product_id,detail_url,title,price,category,competitor,productnummer,merk,zoeknummer,Energielabel,Materiaal,Hoogte,Kleur,Breedte,Woonstijlen,Snoerloos,Lengte,Fitting,Diameter,Producttype,Serie,Voeding,Vermogen,Geschikt voor,Geschikt voor buiten,Geschikt voor binnen,Uitschuifbaar,In hoogte verstelbaar,Dimbaar,Exclusief,Korting,Vorm,Gewicht,Diepte,Inclusief,Voor wie,Aantal,Inclusief stekker,Designer,Leeftijd,Type Lichtbron,Inclusief Fitting,Inclusief Plafondkap,Garantie,Verstelbaar,Snoer,Snoerlengte,Inclusief Snoer,Gemonteerd,Draadloos,Onderhoudsgevoelig,Vorstbestendig,Waterbestendig,Vaatwasserbestendig,Elektrisch,Woonstijlen1,Weergave,Inhoud,Batterijen Inclusief,Lichtbron Inclusief,Inclusief Lichtbron,Draagkracht,Waterdichtheid,Weerbestendig,Zitdiepte,Zithoogte,Armhoogte,Armleuningbreedte,Armleuning,Hoogte Rugleuning,Vulling Materiaal,Soort Stof,Hoogte Armleuning,Armbreedte,Geimpregneerd,Geiimpregneerd,Inclusief binnenkussen,Zitcomfort,Kleur wijzerplaat,Zitbreedte,Armleuning Hoogte,Inclusief Kussens,Afneembaar,Wasinstructie,Woonstijl,Branders,Soort activiteit,Collectie,Onderstel,Vervaardigd in,Zithoogte ,Dessin,Laagpolig of hoogpolig,Digitaal verzonden,Geschikt als speelkleed,Aantal fotovakjes
192429,https://www.vtwonen.nl/shop/zuiver-shady-wandlamp-ijzer-40-5-x-36-cm-grijs,"Zuiver Shady Wandlamp Ijzer 40,5 x 36 cm - Grijs","99,00",wall_lights,vtonen,212972,Zuiver,202972,,Metaal,"40,5 cm",Grijs,"21,5 cm",Basic,,36 cm,E27,,Wandlamp,Shady,,25 Watt,,,,,,,,,,"2,41 kg",,snoer 250 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236941,https://www.vtwonen.nl/shop/laforma-liang-wandlamp-metaal-wit,Kave Home Lucilla Wandlamp Metaal - Wit,"39,00",wall_lights,vtonen,219949,Kave Home,209949,a++,Metaal,22 cm,Wit,"20,5 cm",Basic,,,,,Wandlamp,,,,,,,,,,,,,,14 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35408,https://www.vtwonen.nl/shop/lucide-xio-wandlamp-vierkant-grijs,Lucide Xio Wandlamp Vierkant - Grijs,"30,79",wall_lights,vtonen,193569,Lucide,183569,a+,Aluminium,"9,7 cm",Grijs,"9,7 cm",,,"9,7 cm",G9,,,,230 Volt,4 Watt,Binnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63389,https://www.vtwonen.nl/shop/it-s-about-romi-chicago-wandlamp-ijzer-o-36-cm-zwart,It's About Romi Chicago Wandlamp Ijzer Ø 36 cm - Zwart,"355,00",wall_lights,vtonen,196623,It's about RoMi,186623,a++,Metaal,80 cm,Groen,,,,200 cm,E27,36 cm,,,,60 Watt,Binnen gebruik,,,,,,,,,"2,3 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250724,https://www.vtwonen.nl/shop/ib-laursen-wandlamp-rond-met-kap-metaal-50-x-o14-cm-zwart,IB Laursen Wandlamp Rond met Kap Metaal 50 x Ø14 cm - Zwart,"64,99",wall_lights,vtonen,220028,IB Laursen,210028,,,,,,Landelijk,,50 cm,,14 cm,,Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35411,https://www.vtwonen.nl/shop/lucide-xera-wandlamp-vierkant-zwart,Lucide Xera Wandlamp Vierkant - Zwart,"36,62",wall_lights,vtonen,193566,Lucide,183566,a,Aluminium,10 cm,Zwart,"8,2 cm",,,10 cm,G9,,,,230 Volt,42 Watt,Binnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63393,https://www.vtwonen.nl/shop/it-s-about-romi-madrid-wandlamp-ijzer-wit,It's About Romi Madrid Wandlamp Ijzer - Wit,"33,06",wall_lights,vtonen,196619,It's about RoMi,186619,a++,Metaal,14 cm,Grijs,,,,190 cm,E27,,,,,60 Watt,Binnen gebruik,,,,,,,,,"0,8 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46116,https://www.vtwonen.nl/shop/k-s-verlichting-laren-wandlamp-zwart,K.S. Verlichting Laren Wandlamp - Zwart,"60,63",wall_lights,vtonen,158542,KS Verlichting,148542,,,42 cm,Zwart,22  cm,,,,E27,13  cm,,,240 Volt,60 Watt,,ja,ja,,,nee,Lichtbron,,,,13,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203874,https://www.vtwonen.nl/shop/lucide-ayo-wandlamp-metaal-o-9-cm-grijs,Lucide Ayo Wandlamp Metaal Ø 9 cm - Grijs,"40,48",wall_lights,vtonen,215887,Lucide,205887,a++,Aluminium,9 cm,Grijs,,,,9 cm,geintregreerde led,Ø 9 cm,Wandlampen,,230,3 Watt,Buiten,,,,,,,,,,"8,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46648,https://www.vtwonen.nl/shop/a-little-lovely-company-neon-wandlamp-wolk-geel,A Little Lovely Company Neon Wandlamp Wolk - Geel,"49,00",wall_lights,vtonen,183391,A Little Lovely Company,173391,a,Kunststof,,Geel,"38,5 cm",,,24 cm,,,Lampen,Buddy,230 Volt,,,,,,,nee,,,,,,,,,ja,Mads Saetter - Lassen,Alle leeftijden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396821,https://www.vtwonen.nl/shop/label51-cas-wandlamp-zwart-p214893,LABEL51 Cas Wandlamp - Zwart,"49,00",wall_lights,vtonen,224893,LABEL51,214893,,Metaal,17 cm,Zwart,"13,5 cm",Industrieel,,,led - gu10,,,,,,,,ja,,,,,,,1100 gr,25 cm,,,,,,,led - gu10,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76255,https://www.vtwonen.nl/shop/la-chaise-longue-comic-bubble-lamp-whiteboard,Le Studio Comic Bubble Lamp - Whiteboard,"17,48",wall_lights,vtonen,174673,Le Studio,164673,,Kunststof,,Wit,26 cm,,,32 cm,,,,Lucas,,,,,,,,,,,,,5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400664,https://www.vtwonen.nl/shop/lucide-phil-led-wandlamp-wit,Lucide Phil LED Wandlamp - Wit,"98,99",wall_lights,vtonen,229359,Lucide,219359,,Aluminium,11 cm,Wit,"8,3 cm",Design,,11 cm,geïntegreerde led,,,,230 V,4 Watt,,nee,ja,,,,,,,"0,73 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46673,https://www.vtwonen.nl/shop/raumgestalt-wandlamp-maan-tyvek-incl-ledlamp-40-cm,Raumgestalt Wandlamp Maan Tyvek incl. Ledlamp - 40 cm,"64,00",wall_lights,vtonen,183362,Raumgestalt,173362,,Kunststof,40 cm,Wit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79371,https://www.vtwonen.nl/shop/lucide-honore-wandlamp-roest-bruin,Lucide Honore Wandlamp - Roest bruin,"43,56",wall_lights,vtonen,204743,Lucide,194743,a,Metaal,"11,5 cm",Bruin,30 cm,,,0 cm,E14,0 cm,,,230V,40 Watt,Binnen gebruik,,,,,,,,,"0,64 Kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204089,https://www.vtwonen.nl/shop/lucide-thor-wandlamp-metaal-30-x-18-cm-zilver,Lucide Thor Wandlamp Metaal 30 x 18 cm - Zilver,"99,95",wall_lights,vtonen,215954,Lucide,205954,a,Metaal,30 cm,Zilver,,,,18 cm,E27,,Wandlampen,,230,60 Watt,Binnen,,,,,,,,,,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397293,https://www.vtwonen.nl/shop/tolhuijs-spool-muurlamp-basic-white,Tolhuijs Spool Muurlamp Basic - White,"129,00",wall_lights,vtonen,225739,Tolhuijs,215739,,Koper,10cm,"koper,wit",,,Nee,150cm,E27,30cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401346,https://www.vtwonen.nl/shop/bepurehome-bubble-wandlamp-glas-zwart,BePureHome Bubble Wandlamp Glas - Zwart,"69,00",wall_lights,vtonen,228128,BePureHome,218128,a++,Metaal,53 cm,Zwart,64 cm,Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52289,https://www.vtwonen.nl/shop/lucide-xera-wandlamp-o-8-cm-wit,Lucide Xera Wandlamp Ø 8 cm - wit,"37,50",wall_lights,vtonen,193565,Lucide,183565,a,Aluminium,18 cm,Wit,9 cm,,,66 cm,G53,8 cm,,,,12 Watt,Binnen,,,,,,,,,,,Lichtbron,,,,,,,,,24 maanden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79444,https://www.vtwonen.nl/shop/lucide-xio-wandlamp-rond-led-dimbaar-zwart,Lucide Xio Wandlamp Rond LED Dimbaar - Zwart,"32,96",wall_lights,vtonen,204707,Lucide,194707,a+,Aluminium,"9,7 cm",Zwart,13 cm,,,11 cm,G9,0 cm,,,230V,4 Watt,Binnen gebruik,,,,,,,,,"0,6 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
