product_id,detail_url,title,price,category,competitor,Breedte,Fitting,Hoogte,Lichtbron meegeleverd,Materiaal,Productnummer,EAN Code,Aantal lichtbronnen,Dimbaar,Dimmer,Kleur,Kleurtint,Lichtbron,Diameter,Snoerlengte in meters,Bestelcode,Garantie,Productserie,Vermogen (in Watt),Diepte,Gewicht in kg,Type lamp,Vorm,Maat,IP-waarde,Materiaal type,Elektrische vereisten,Ruimte,Voltage,Automatische uitschakeling,Snoerloos,Dimmer voor de lichtintensiteit,Soort,Klemlamp,Kleurtemperatuur,Lengte,Branduren,Oplaadbaar,Brandstof,Type,Type/uitvoering,Draadloos,Energielabel,Stroomvoorziening,Meegeleverd in de doos,Kooldraad,Onderstel,Lichtkleur,Aantal delen,Geschenkverpakking,Lumen,Batterijtechnologie,Gewicht in gr,Type bureau accessoire,Lichtkleur EN 123646-1,Geschikt voor binnen / buiten,Philips Hue Lijn,Philips Serie,Geschikt voor badkamer,Functie verlichting,12v aansluiting,Lichtrichting,Oplaadtijd (in uren),Sensor,Type verlichting,Designers,Accuduur,Kleur frame,Type lampaccessoire,In hoogte verstelbaar,Slaapkamer stijl,Vaatwasserbestendig,Draagbaar,Soort speaker,Speaker type,Streaming Audio type,Type design,Dikte,Draadloze techniek,Filament,Glas lichtbron,Smart functies,Smart,Wandlamp aansluiting,Ingebouwde verlichting,Nominale levensduur lamp,Waterproof,Allergievrij,Hardheid,Hoofdbord,Kleur poten,Model,Tijk,Type boxspring,Type matras,Type slaper,Verstelbare bedbodem,Vulling,Wasbare hoes,Gemonteerd bij levering,Geschikt voor verstelbare bedbodems,Zitbreedte,Zitdiepte,Zithoogte,Materiaal onderstel,Materiaal zitting,Maximale draagkracht,Aantal latten/schotels,Max. gewicht,Type kern boxspring,Type vering matras,Afmetingen uitgeklapt,Frame materiaal,Armleuning,Stapelbaar,Armhoogte,Kleur onderstel,Kleur zitting,Hoogte armleuning,Wielen,Type tuinstoel,Afmetingen zitvlak,Zitting,Kleur Zitschaal,Type fauteuil,Type bank,Ingebouwde pomp,Afstandsbediening,Aantal personen,Kleur snoer,Kleur fitting,Formaat,Hangend,Timer,Type feestverlichting,Materiaal tafelblad,Max Belastbaarheid,Type spot,Wandbevestiging,Opbergruimte,Lades,Leeftijd,Dessin Vloerkleden,Type vloerkleed,Droogvoorschriften,Wasvoorschriften,Type decoratie kinderkamer
233366,https://www.fonq.nl/product/kave-home-galeria-vloerlamp/233366/,Kave Home Galeria Vloerlamp,"119,65


163,-",floor_lights,fonq,44 cm,E27,160 cm,Nee,Metaal,222344,8433840429380,1,Ja,Niet geschikt voor dimmer,Bruin,Zink,"Halogeen, LED",,,AA1251R55,2 jaar,Galeria,25,30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339777,https://www.fonq.nl/product/label51-vloerlamp-tuk-tuk-34x23x150-cm/339777/,LABEL51 - Vloerlamp Tuk-Tuk 34x23x150 cm,"99,-",floor_lights,fonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281195,https://www.fonq.nl/product/zuiver-lesley-vloerlamp/281195/,Zuiver Lesley Vloerlamp,"112,99


149,-",floor_lights,fonq,50 cm,E27,181 cm,Nee,"IJzer, Textiel",248446,8718548043367,,,,Wit,,,50 cm,"1,8",5100077,2 jaar,Lesley,100,50 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135176,https://www.fonq.nl/product/gubi-bestlite-bl3m-vloerlamp/135176/,Gubi Bestlite BL3M Vloerlamp,"785,-


896,61",floor_lights,fonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266812,https://www.fonq.nl/product/ks-verlichting-satellite-vloerlamp/266812/,KS Verlichting Satellite Vloerlamp,"64,95


79,95",floor_lights,fonq,23 cm,GU10,150 cm,Nee,Metaal,243776,8714732684507,2,,Geschikt voor dimmer,Grijs,,,,,6845,2 jaar,Satellite,35,23 cm,,,,,,,,,,,,,,,,,,,,,,,,Netstroom,,,,,,,,,,,,,,,,,Nee,Verstelbaar,,Geen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269437,https://www.fonq.nl/product/light-living-vloerlamp-salaun-beton-met-hout/269437/,Light & Living Vloerlamp SALAUN - Beton Met Hout,"114,95",floor_lights,fonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126473,https://www.fonq.nl/product/umage-silvia-vloerlamp-34-cm/126473/,Umage Silvia Vloerlamp Ø 34 cm,"118,-",floor_lights,fonq,,E27,109 cm,,"Aluminium, Kunststof",1235,,1,,Geschikt voor dimmer,Koper,,"Halogeen, LED, Spaarlamp",34 cm,3,,2 jaar,,60,,,E27 max 60W,,,,,,"Kantoor, Slaapkamer, Woonkamer",,,,,,,,,,,,,Vloerlamp,,,,Zwarte vloerlamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214804,https://www.fonq.nl/product/kave-home-powell-vloerlamp/214804/,Kave Home Powell Vloerlamp,"328,-",floor_lights,fonq,55 cm,E27,175 cm,,"Hout, Katoen, Metaal",203888,8433840211220,1,,Niet geschikt voor dimmer,"Bruin, Wit",,"Halogeen, LED",55 cm,"1,5",EA331FN39,2 jaar,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336314,https://www.fonq.nl/product/light-living-lampvoet-jaco-antiek-brons/336314/,Light & Living Lampvoet JACO - Antiek-Brons,"50,95",floor_lights,fonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331081,https://www.fonq.nl/product/bondy-living-bluster-vloerlamp-grijs/331081/,Bondy Living Bluster Vloerlamp Grijs,"179,-",floor_lights,fonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
