product_id,detail_url,title,price,category,competitor,Hoogte armleuning,Afmetingen,Zithoogte,Zitdiepte,Ruimte,Materiaal,Garantie,Merk,Categorie,Productsoort,Herkomst,Productfamilie,Zitbreedte,Ontwerper,Stofsoorten,Dimtechniek,Snoerlengte (in cm),Waterdichtheid,Lichtrichting,Bediening,Dimbaar,Lichtbron,Plafondkapje,Aanbevolen lichtbron,Fitting,Opmerking,Soort lichtbron,Kleurtemperatuur,Energielabel,Stapelbaar tot,Stekker,Productiemethode
56532,https://www.flinders.nl/fabulaliving-primula-vloerkleed-170x240,Primula vloerkleed 170x240,999,rugs,flinders,,(l) 240.00 x (b) 170.00 cm,,,Alleen geschikt voor binnen,"Canvas, Wol",1 jaar,Fabula Living,,Fabula Living Vloerkleden,Denemarken,,,Lisbet Friis,,,,,,,,,,,,,,,,,,Handgeweven
56545,https://www.flinders.nl/fabulaliving-erica-vloerkleed-170x240,Erica vloerkleed 170x240,749,rugs,flinders,,(l) 240.00 x (b) 170.00 cm,,,Alleen geschikt voor binnen,"Katoen, Wol",1 jaar,Fabula Living,,Fabula Living Vloerkleden,Denemarken,,,Lisbet Friis,,,,,,,,,,,,,,,,,,Handgeweven
56947,https://www.flinders.nl/massimo-earth-vloerkleed-200x300,Earth vloerkleed 200x300,1.430,rugs,flinders,,(b) 200.00 x (d) 300.00 cm,,,Alleen geschikt voor binnen,Wol,1 jaar,Massimo,,Massimo vloerkleden,Denemarken,Massimo Earth,,,,,,,,,,,,,,,,,,,,Handgeweven
35446,https://www.flinders.nl/moooi-carpets-zig-zag-vloerkleed-200x300,Zig Zag vloerkleed 200x300,2.099,rugs,flinders,,(l) 300.00 x (b) 200.00 cm,,,Alleen geschikt voor binnen,"PA (kunststof), Vilt",2 jaar,Moooi Carpets,,,Nederland,,,Edward van Vliet,,,,,,,,,,,,,,,,,,Machinaalgeweven
56540,https://www.flinders.nl/fabulaliving-erica-vloerkleed-140x200,Erica vloerkleed 140x200,519,rugs,flinders,,(l) 200.00 x (b) 140.00 cm,,,Alleen geschikt voor binnen,"Katoen, Wol",1 jaar,Fabula Living,,Fabula Living Vloerkleden,Denemarken,,,Lisbet Friis,,,,,,,,,,,,,,,,,,Handgeweven
56560,https://www.flinders.nl/fabulaliving-daphne-vloerkleed-170x240,Daphne vloerkleed 170x240,999,rugs,flinders,,(l) 240.00 x (b) 170.00 cm,,,Alleen geschikt voor binnen,"Canvas, Wol",1 jaar,Fabula Living,,Fabula Living Vloerkleden,Denemarken,,,Lisbet Friis,,,,,,,,,,,,,,,,,,Handgeweven
56657,https://www.flinders.nl/fabulaliving-angelica-vloerkleed-200x300,Angelica vloerkleed 200x300,1.699,rugs,flinders,,(l) 300.00 x (b) 200.00 cm,,,Alleen geschikt voor binnen,"Viscose, Wol",1 jaar,Fabula Living,,Fabula Living Vloerkleden,Denemarken,,,Lisbet Friis,,,,,,,,,,,,,,,,,,Handgeweven
61796,https://www.flinders.nl/fabula-living-myrtus-vloerkleed-170x240,Myrtus vloerkleed 170x240,749,rugs,flinders,,(b) 170.00 x (h) 240.00 cm,,,Alleen geschikt voor binnen,"Katoen, Wol",1 jaar,Fabula Living,,Fabula Living Vloerkleden,Denemarken,,,Lisbet Friis,,,,,,,,,,,,,,,,,,Handgeweven
76963,https://www.flinders.nl/puik-iso-vloerkleed-162x260,Iso vloerkleed 162x260,"799,95",rugs,flinders,,(l) 260 x (b) 162 cm,,,Alleen geschikt voor binnen,Wol,1 jaar,Puik,,,Nederland,,,Ontwerpduo,,,,,,,,,,,,,,,,,,
19566,https://www.flinders.nl/fabula-living-nigella-steenkool-grijs-vloerkleed,Nigella steenkool/grijs vloerkleed,749,rugs,flinders,,,,,Alleen geschikt voor binnen,"Katoen, Wol",,Fabula Living,,Fabula Living Vloerkleden,Denemarken,,,Lisbet Friis,,,,,,,,,,,,,,,,,,Handgeweven
24820,https://www.flinders.nl/fabula-living-camelia-vloerkleed,Camelia vloerkleed,999,rugs,flinders,,,,,Alleen geschikt voor binnen,"Canvas, Wol",,Fabula Living,,Fabula Living Vloerkleden,Denemarken,,,Lisbet Friis,,,,,,,,,,,,,,,,,,Handgeweven
57514,https://www.flinders.nl/massimo-earth-bamboo-vloerkleed-250x300,Earth Bamboo vloerkleed 250x300,2.244,rugs,flinders,,(b) 250.00 x (d) 0.00 x (h) 300.00 cm,,,Alleen geschikt voor binnen,"Bamboe, Wol",1 jaar,Massimo,,Massimo vloerkleden,Denemarken,Massimo Earth Bamboo,,,,,,,,,,,,,,,,,,,,Handgeweven
19518,https://www.flinders.nl/fabula-living-rosemary-grijs-lichtgrijs-vloerkleed,Rosemary grijs/lichtgrijs vloerkleed,749,rugs,flinders,,,,,Alleen geschikt voor binnen,"Katoen, Wol",,Fabula Living,,Fabula Living Vloerkleden,Denemarken,,,Lisbet Friis,,,,,,,,,,,,,,,,,,Handgeweven
61765,https://www.flinders.nl/fabula-living-gorm-vloerkleed-200x300,Gorm vloerkleed 200x300,1.099,rugs,flinders,,(b) 200.00 x (h) 300.00 cm,,,Alleen geschikt voor binnen,"Canvas, Wol",1 jaar,Fabula Living,,Fabula Living Vloerkleden,Denemarken,,,Jens Landberg Schrøder,,,,,,,,,,,,,,,,,,Handgeweven
33335,https://www.flinders.nl/be-pure-spotlight-vloerlamp,Spotlight vloerlamp,129,floor_lights,flinders,,(b) 54.00 x (d) 45.00 x (h) 167.00 cm,,,Alleen geschikt voor binnen,Metaal,2 jaar,BePureHome,Vloerlampen,,Nederland,BePureHome Spotlight,,,,,,IP20 (Geen bescherming tegen water),Naar beneden,Aan-/uitschakelaar op snoer,Nee,Niet meegeleverd,,1 x E27 220V max. 40W,E27 (grote fitting),,,,,,,
32673,https://www.flinders.nl/zuiver-metal-bow-vloerlamp,Metal Bow vloerlamp,219,floor_lights,flinders,,(b) 170 x (d) 39 x (h) 205 cm,,,Alleen geschikt voor binnen,"Koper, Marmer, Messing, PVC (kunststof)",2 jaar,Zuiver,Vloerlampen,"Zuiver vloerlampen, Zuiver lampen",Nederland,,,,,,,IP20 (Geen bescherming tegen water),Naar beneden,Aan-/uitschakelaar op snoer,Nee,Niet meegeleverd,,1 x E27 max. 60W,E27 (grote fitting),,,,,,,
18777,https://www.flinders.nl/flos-ic-lights-f1-vloerlamp,IC Lights F1 vloerlamp,590,floor_lights,flinders,,(h) 135.00 x (Ø) 27.50 cm,,,Alleen geschikt voor binnen,"Glas (geblazen), Staal",2 jaar,Flos,Vloerlampen,"Flos vloerlampen, Flos buitenlampen",Italië,Flos IC Lights,,Michael Anastassiades,,,,IP20 (Geen bescherming tegen water),Alle richtingen,Dimmer op snoer,"Ja, via ingebouwde dimmer",Niet meegeleverd,,1 x 60W E14 HSGS dimmer,E14 (kleine fitting),,Halogeenlamp,,,,,
8766,https://www.flinders.nl/hollands-licht-lotek-classic-vloerlamp,Lotek Classic vloerlamp,95,floor_lights,flinders,,(b) 30 x (d) 30 x (h) 120 cm,,,Alleen geschikt voor binnen,Non-woven vlieseline doek,1 jaar,Hollands Licht,Vloerlampen,Hollands Licht vloerlampen,Nederland,Hollands Licht Lotek lampen,,Benno Premsela,,,,IP20 (Geen bescherming tegen water),Alle richtingen,Aan-/uitschakelaar op snoer,Nee,Niet meegeleverd,,1 x E27 max 70W ES of 1 x E27 CFL of 1 x E27 Globe CFL,E27 (grote fitting),De Lotek Classic vloerlamp is in hoogte verstelbaar,,,,,,
21091,https://www.flinders.nl/frandsen-cool-vloerlamp,Cool vloerlamp,141,floor_lights,flinders,,(h) 153.00 cm,,,Alleen geschikt voor binnen,Metaal,1 jaar,Frandsen,Vloerlampen,Frandsen vloerlampen,Denemarken,Frandsen Cool,,Benny Frandsen,,,,IP20 (Geen bescherming tegen water),Alle richtingen,Aan-/uitschakelaar op snoer,Nee,Niet meegeleverd,,1 x E27 max 60W,E27 (grote fitting),,,,,,,
44216,https://www.flinders.nl/tonone-bolt-1-arm-vloerlamp,Bolt 1 arm vloerlamp,385,floor_lights,flinders,,(b) 30.00 x (h) 125.00 cm,,,Alleen geschikt voor binnen,"Aluminium (metaal), Staal",1 jaar,Tonone,Vloerlampen,Tonone vloerlampen,Nederland,Tonone Bolt,,Anton de Groof,,,,IP20 (Geen bescherming tegen water),Naar beneden,Aan-/uitschakelaar op armatuur,Nee,Meegeleverd,,"1 x E27, 42 Watt, 630 lumen (halogeen)",E27 (grote fitting),Bij deze lamp zit een messing verstel sleutel.,Halogeenlamp,,D,,,
18780,https://www.flinders.nl/flos-ic-lights-f2-vloerlamp,IC Lights F2 vloerlamp,888,floor_lights,flinders,,(h) 185.20 x (Ø) 38.00 cm,,,Alleen geschikt voor binnen,"Glas (geblazen), Staal",2 jaar,Flos,Vloerlampen,"Flos vloerlampen, Flos buitenlampen",Italië,Flos IC Lights,,Michael Anastassiades,,,,IP20 (Geen bescherming tegen water),Alle richtingen,Dimmer op snoer,"Ja, via ingebouwde dimmer",Niet meegeleverd,,1 x 205W E27 HSGS dimmer,E27 (grote fitting),,,,,,,
14342,https://www.flinders.nl/zuiver-tripod-vloerlamp,Tripod vloerlamp,169,floor_lights,flinders,,,,,Alleen geschikt voor binnen,"Metaal, Textiel",1 jaar,Zuiver,Vloerlampen,"Zuiver vloerlampen, Zuiver lampen",Nederland,Zuiver Tripod,,,,,,IP20 (Geen bescherming tegen water),Naar boven en beneden,Aan-/uitschakelaar op snoer,Nee,Niet meegeleverd,,1x E27 max 25W CFL,E27 (grote fitting),,,,,,,
27746,https://www.flinders.nl/louis-poulsen-aj-vloerlamp,AJ vloerlamp,910,floor_lights,flinders,,(d) 32.5 x (h) 130 cm,,,Alleen geschikt voor binnen,"Staal, Zink (metaal)",,Louis Poulsen,Vloerlampen,"Louis Poulsen buitenlampen, Louis Poulsen vloerlampen",Denemarken,Louis Poulsen AJ,,Arne Jacobsen,,,260,IP20 (Geen bescherming tegen water),Naar beneden,Aan-/uitschakelaar op snoer,Nee,Niet meegeleverd,,1 x E27 max. 60W,E27 (grote fitting),,,,,,,
