product_id,detail_url,title,price,category,competitor,product_type,Ladehoogte (binnenkant),Lengte,Breedte,Hoogte,Ladebreedte (binnenkant),Ladediepte (binnenkant),Verhoogd hoofdeinde,Matraslengte,Matrasbreedte,description,Verhoogd voeteneinde,Vrije hoogte onder meubel,"Hoogte, 2 bedden",Diepte,Zitdiepte,Zithoogte,Hoogte armleuning,Hoogte inclusief rugkussens,Breedte armleuning,Zitbreedte,Hoogte rugleuning,Aantal zitplaatsen,Max. hoogte,Min. zithoogte,Max. zithoogte,Diameter,Hoogte lampenkap,Snoerlengte,Diameter lampenkap,Vermogen,Dikte,Aantal per verpakking,Diameter voet,Breedte lampenkap,Bedbreedte,Bedlengte,Lengte uitgeklapt,Breedte uitgeklapt,Min. diepte,Max. diepte,Diepe chaise longue,"Zitdiepte, chaise longue",Matrasdikte,Bedhoogte,Breedte rechts,Breedte links,Max. zitdiepte,Min. zitdiepte,Oppervlak,Min. poolhoogte,Min. oppervlakte,Min. lengte,Zitbreedte rechts,Zitbreedte links,Min. breedte,Max. breedte,"Zitbreedte, chaise longue",Min. hoogte,Lengte ketting,Diameter wandbevestiging,Verzinkingsdiameter,Max. diameter,Totale hoogte,Max. belasting/fauteuilonderstel,Max. belasting,Max. lengte,Inhoud
90396290,https://www.ikea.com/nl/nl/catalog/products/90396290/,SJÖPENNA,19.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, ovaal",,,,,,,,,,Diffuus licht zorgt voor goede algemene verlichting in een ruimte.,,,,,,,,,,,,,,,,35 cm,,1.5 m cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00342471,https://www.ikea.com/nl/nl/catalog/products/00342471/,SJÖPENNA,19.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, rond",,,,,,,,,,Diffuus licht zorgt voor goede algemene verlichting in een ruimte.,,,,,,,,,,,,,,,,35 cm,,1.5 m cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50297485,https://www.ikea.com/nl/nl/catalog/products/50297485/,HEKTAR,19.95/st.00008Prijs per set,pendant_lights,ikea,"Plafondrail, 3 spots, donkergrijs",,,,,,,,,,"Eenvoudige, royale metalen vorm geïnspireerd op oude lampen van fabrieken en theaters. Gebruik de verschillende lampen samen, dan wordt de ruimte goed verlicht voor diverse activiteiten en krijg je een eenduidige, rustieke stijl.",,,,,,,,,,,,,,,,,,,9 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70396390,https://www.ikea.com/nl/nl/catalog/products/70396390/,RANARP,29.95/st.00008Prijs per set,pendant_lights,ikea,"Plafondrail, 3 spots, zwart",,,,,,,,,,"De RANARP lamp doet denken aan vervlogen tijden, met degelijke metalen details en een klassiek met bewerkte stof overtrokken snoer. De staande lampen en de bureaulampen zijn zwaar en stabiel, maar toch flexibel.",,,,,,,,,,,,,,,,,,,11 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00336267,https://www.ikea.com/nl/nl/catalog/products/00336267/,NYMÅNE,34.95/st.00008Prijs per set,pendant_lights,ikea,"Plafondspot met 3 spots, wit",,,,,,,,,,"Stralend tijdloos design. De NYMÅNE lampen hebben een bepaalde uitstraling, maar versmelten toch in de meeste interieurs. Waarom niet verschillende lampen combineren voor een eenduidige stijl?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30262627,https://www.ikea.com/nl/nl/catalog/products/30262627/,FUGA,29.95/st.00008Prijs per set,pendant_lights,ikea,"Plafond-/wandlamp, verchroomd, helder glas",,,,18.5 cm,,,,,,Verstelbare spots.,,,,19 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40304900,https://www.ikea.com/nl/nl/catalog/products/40304900/,IKEA PS 2014,129/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, wit, koperkleur",,,,,,,,,,De IKEA PS 2014 hanglamp is geïnspireerd op science fictionfilms en heeft de internationale designprijs Red Dot Award toegekend gekregen. Je verandert de vorm en lichtsterkte van de lamp eenvoudig door aan het koord te trekken.,,,,,,,,,,,,,,,,,,1.5 m cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390961,https://www.ikea.com/nl/nl/catalog/products/10390961/,RANARP,17.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, ecru",,,,,,,,,,"De RANARP lamp doet denken aan vervlogen tijden, met degelijke metalen details en een klassiek met bewerkte stof overtrokken snoer. De staande lampen en de bureaulampen zijn zwaar en stabiel, maar toch flexibel.",,,,,,,,,,,,,,,,,,1.6 m cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20390970,https://www.ikea.com/nl/nl/catalog/products/20390970/,RANARP,24.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, ecru",,,,,,,,,,"De RANARP lamp doet denken aan vervlogen tijden, met degelijke metalen details en een klassiek met bewerkte stof overtrokken snoer. De staande lampen en de bureaulampen zijn zwaar en stabiel, maar toch flexibel.",,,,,,,,,,,,,,,,,,1.6 m cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60324228,https://www.ikea.com/nl/nl/catalog/products/60324228/,STÄKRA,39.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, koperkleur",,,,26 cm,,,,,,Kan bijvoorbeeld boven de eettafel worden gebruikt omdat het licht naar beneden gericht is.,,,,,,,,,,,,,,,,34 cm,,1.8 m cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30396354,https://www.ikea.com/nl/nl/catalog/products/30396354/,INDUSTRIELL,22.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, bamboe globe",,,,,,,,,,"De vorm doet denken aan industriële lampen van vroeger, maar deze lampenkappen worden niet aan de lopende band gemaakt. Ze zijn handgeweven van bamboe en verspreiden een warm, gezellig licht.",,,,,,,,,,,,,,,,24 cm,,1.5 m cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40396358,https://www.ikea.com/nl/nl/catalog/products/40396358/,INDUSTRIELL,22.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, bamboe",,,,,,,,,,"De vorm doet denken aan industriële lampen van vroeger, maar deze lampenkappen worden niet aan de lopende band gemaakt. Ze zijn handgeweven van bamboe en verspreiden een warm, gezellig licht.",,,,,,,,,,,,,,,,24 cm,,1.5 m cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70400486,https://www.ikea.com/nl/nl/catalog/products/70400486/,INDUSTRIELL,29.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, naturel/beige",,,,,,,,,,Een lampenkap die op een kristallen kroonluchter lijkt en met de hand gehaakt is? Nou en of! Bovendien kan je de vorm veranderen door het onderste gedeelte van de lampenkap naar binnen te vouwen. Kies gewoon zelf wat je mooi vindt.,,,,,,,,,,,,,,,,45 cm,,1.5 m cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
