sku,product_id,detail_url,title,price,competitor,height,width,weight,packaging_dimensions,colour,materials
BEDSKY067CRM-ME,46021,skye-super-kingsize-bed-180-x-200cm-met-opbergruimte-zacht-creme-1,"Skye superkingsizebed met opbergruimte, 180 x 200 cm, crèmewit",104900,made,128,196,116.0000,Pakket 1: 242 x 39 x 23 cm <br>Pakket 2: 194 x 13 x 132 cm <br>Pakket 3: 203 x 27 x 9 cm <br>Pakket 4: 205 x 93 x 3 cm,Crème,
BEDSKY069TEL-ME,46186,skye-kingsize-bed-met-opbergruimte-teal,"Skye eurokingsizebed met opbergruimte, turkooisblauw",84900,made,128,160,119.0000,Pakket 1: 225 x 39 x 23 cm <br>Pakket 2: 162 x 13 x 132 cm <br>Pakket 3: 203 x 27 x 9 cm <br>Pakket 4: 205 x 78 x 3 cm,Blauw,
BEDSKY070TEL-UK,46150,skye-super-kingsize-bed-met-opbergruimte-teal-1,"Skye super kingsize bed met opbergruimte, teal",89900,made,128,190,122.0000,0,Donkerturkoois,
BEDSKY072GRY-ME,46236,skye-tweepersoonsbed-koel-grijs,"Skye tweepersoonsbed, zilvergrijs",64900,made,128,151,42.9000,Pakket 1: 195 x 32 x 22 cm <br>Pakket 2: 147 x 12 x 115 cm,Grijs,
BEDSKY33CRE-ME,40071,skye-kingsize-bed-met-berging-160-x-200cm-zacht-creme,"Skye kingsize bed met berging, 160 x 200cm, zacht crème",89900,made,128,160,119.1000,1: 39 x 225 x 22.5 cm <br>  2: 132 x 172 x 13 cm <br>  3: 27 x 203 x 9 cm <br>  4: 83 x 205 x 3 cm,Crème,
BEDSKY35CRE-ME,40074,skye-kingsize-bed-160-x-200cm-zacht-creme,"Skye kingsize bed, 160 x 200cm, zacht crème",69900,made,128,170,59.8000,1: 205 x 32 x 22 cm <br>  2: 162 x 115 x 12 cm,Crème,
BEDTYL001NAT-UK,37973,tyler-single-bed-pine,"Tyler Single Bed, Pine",29900,made,170,200,37.0000,Parcel 1: 97 x 76 x 10cm  Parcel 2: 198 x 32 x 15cm  Parcel 3: 117 x 28 x 8cm ,Neutraal,
BEDWLW008WHI-UK,19706,willow-tweepersoonsbed-in-eiken-en-wit,"Willow tweepersoonsbed, eiken en wit",59900,made,105,151,27.1000,1: 154 x 115 x 10cm.   2: 155.5 x 47 x 10cm.   3: 208 x 21.5 x 17cm,"Wit,Licht hout",
BEDWLW009WHI-UK,19711,willow-kingsize-bed-eiken-en-wit,"Willow kingsize bed, eiken en wit",66900,made,105,170.4,31.9000,1: 169 x 115 x 10 cm.   2: 170.5 x 47 x 10 cm.   3: 218 x 21.5 x 17 cm,"Wit,Licht hout",
BEDWLW010ZOK-UK,19716,willow-tweepersoonsbed-eiken,"Willow tweepersoonsbed, eiken",59900,made,105,151,27.1000,1: 154 x 115 x 10cm.   2: 155.5 x 47 x 10cm.   3: 208 x 21.5 x 17cm.,Licht hout,
BEDWLW011ZOK-UK,19721,willow-kingsize-bed-eiken,"Willow kingsize bed, eiken",66900,made,105,170.4,31.9000,1: 169 x 115 x 10 cm.   2: 170.5 x 47 x 10 cm.   3: 218 x 21.5 x 17 cm.,Licht hout,
BEDWLW016ZOK-UK,34131,willow-eenpersoonsbed-eiken-en-wit,"Willow eenpersoonsbed, eiken en wit",49900,made,105,101,24.0000,Box 1: 180 x 75 x 21cm<br>  Box 2: 112 x 65 x 11cm<br>  Box 3: 206 x 22 x 17.5cm<br>  ,"Wit,Licht hout","Eiken,Hout"
BEDWLW027WHI-UK,39113,willow-eenpersoonsbed-eiken-en-wit-1,"Willow eenpersoonsbed, eiken en wit",49900,made,105,101,24.0000,Pakket 1: H180 x W75 x D21cm<br>   Pakket 2: H112 x W65 x D11<br>   Pakket 3: H206 x W22 x W17.5<br>,"Wit,Licht hout","Eiken,Hout"
BEDWLW032WHI-ME,39118,willow-kingsize-bed-160-200cm-eiken-en-wit1,"Willow kingsize bed 160 x 200cm, eiken en wit",64900,made,105,170.4,31.9000,1: 169 x 115 x 10 cm <br>  2: 170.5 x 47 x 10 cm <br>  3: 218 x 21.5 x 17 cm <br>,"Wit,Licht hout",
BENAMP001BLA-UK,38238,amph-opbergbank-zwart,"Amph opbergbank, zwart",37900,made,49,120,30.0000,Pakket 1: W50 x H60 x L130 cm,"Zwart,Donker hout",
BENAMP005GRY-UK,39951,amph-opbergbank-koper-en-grijs,"Amph opbergbank, koper en grijs",37900,made,49,120,30.0000,Parcel 1: L130 x W50 x H60 cm  ,"Grijs,Koper",
BENAND009BRO-UK,40600,anderson-bank-mangohout,"Anderson bank, mangohout",24900,made,45,160,14.0000,34 x 49 x 167 cm,Donker hout,Hout
BENAND010BRO-UK,48630,anderson-bank-mangohout-1,"Anderson bank, mangohout",24900,made,45,160,14.0000,0,Donker hout,Hout
BENAVO009GRY-ME,24826,aveiro-bank-in-donkergebeitst-eiken-en-grafiet-grijs,"Aveiro bank, donkergebeitst eiken en grafiet grijs",29900,made,48,150,0,28.5 x 51 x 155cm,Wit,Hout
