product_id,detail_url,category,competitor,sales_price,original_price,Lichtbron,Hoogte,Breedte,Diepte,Kleur,Kap ,Hoogte Armleuning,Stof,Poten,Stoeldiepte,Zitdiepte,Stoelhoogte,Zithoogte,Zitting,Lengte,Bovendeel,Oppervlakte,Onderstel,Rughoogte,Diepte chaise longue,Zitdiepte chaise longue,Breedte: 238 cm Rygh›jde,Opmerking,Zitcomfort,Breedte armleuning,Diepte chaiselong,Zitdiepte/chaiselong,Diepte open einde,Zitdiepte open einde,Breedte armleuningen,Rygh›jde,Breedte chaiselong,Afmetingen uitgeklapt,Afmetingen Matras,Matras,Afmetingen uitegeklapt,Materialen matras,Bekleding,Armsteun,Afmetingen matras,Diepte: 96,Breedte 3 pers. deel,Breedte 2 pers. deel,Zitdiepte/chaise longue,Breedte 3 pers. met chaise.,Breedte 2 pers. Deel,Diepte Open End,Zitdiepte incl Open End,Breedte 3 pers.,Breedte 2 pers. deel met chaise,Breedte 2 « pers. deel,Breedte 2 pers. del,Breedte 2« pers. deel,Breedte 3 pers. met chais.,Kap,Kap,Kap Ø,Diameter,Productinformatie,Land van herkomst,Boog Hoogte,Voet ,Voet,Kuip
02-019-20_4092322,https://www.bolia.com/nl-nl/producten/02-019-20_4092322,dining_chairs,bolia,829,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-307-05_10588130,https://www.bolia.com/nl-nl/producten/02-307-05_10588130,dining_chairs,bolia,349,349,,,"54,5 cm",,Light Grey,,,,,42 cm,81 cm,"51,5 cm",45 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_5372409,https://www.bolia.com/nl-nl/producten/02-019-20_5372409,dining_chairs,bolia,829,829,,46/79 cm,62 cm,55 cm,Blue Melange,,66 cm,Devide - Stof,"Geolied eiken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_6558170,https://www.bolia.com/nl-nl/producten/02-019-20_6558170,dining_chairs,bolia,829,829,,46/79 cm,62 cm,55 cm,Blue,,66 cm,London - Stof,"Geolied walnoot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_4093636,https://www.bolia.com/nl-nl/producten/02-019-20_4093636,dining_chairs,bolia,829,829,,46/79 cm,62 cm,55 cm,Mint,,66 cm,London - Stof,Zwart gelakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_4091534,https://www.bolia.com/nl-nl/producten/02-019-20_4091534,dining_chairs,bolia,829,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_10587989,https://www.bolia.com/nl-nl/producten/02-019-20_10587989,dining_chairs,bolia,829,829,,46/79 cm,62 cm,55 cm,Burgundy,,66 cm,London - Stof,"Witgeolied eiken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-092-15_6585665,https://www.bolia.com/nl-nl/producten/02-092-15_6585665,dining_chairs,bolia,559,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_6585677,https://www.bolia.com/nl-nl/producten/02-019-20_6585677,dining_chairs,bolia,829,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-106-15_10814220,https://www.bolia.com/nl-nl/producten/02-106-15_10814220,dining_chairs,bolia,661,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-094-10_3602510,https://www.bolia.com/nl-nl/producten/02-094-10_3602510,dining_chairs,bolia,499,499,,,42 cm,,,,,,Devide - Stof,43  cm,37 cm,83 cm,48 cm,Charcoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-015-19_10732104,https://www.bolia.com/nl-nl/producten/02-015-19_10732104,dining_chairs,bolia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_12517318,https://www.bolia.com/nl-nl/producten/02-019-20_12517318,dining_chairs,bolia,955,955,,46/79 cm,62 cm,55 cm,Grey,,66 cm,Globa - Stof,"Geolied walnoot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_10609334,https://www.bolia.com/nl-nl/producten/02-019-20_10609334,dining_chairs,bolia,829,829,,46/79 cm,62 cm,55 cm,Light Brown,,66 cm,Memory - Stof,Gerookt geolied eiken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_6558687,https://www.bolia.com/nl-nl/producten/02-019-20_6558687,dining_chairs,bolia,955,955,,46/79 cm,62 cm,55 cm,Dark Grey,,66 cm,Laine - Stof,"Geolied walnoot
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_10733239,https://www.bolia.com/nl-nl/producten/02-019-20_10733239,dining_chairs,bolia,997,997,,46/79 cm,62 cm,55 cm,Grey,,66 cm,Quattro Traceable - Leer,"Geolied eiken
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-015-18_10615073,https://www.bolia.com/nl-nl/producten/02-015-18_10615073,dining_chairs,bolia,629,629,,,"41,5 cm",,Blue,,,Novel - Stof,"Poten van geolied eiken
",41 cm,,94 cm,"63,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-094-10_6586298,https://www.bolia.com/nl-nl/producten/02-094-10_6586298,dining_chairs,bolia,539,539,,,42 cm,,,,,,Devide - Stof,43  cm,37 cm,83 cm,48 cm,Steel Grey Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-015-18_10615136,https://www.bolia.com/nl-nl/producten/02-015-18_10615136,dining_chairs,bolia,629,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_10615090,https://www.bolia.com/nl-nl/producten/02-019-20_10615090,dining_chairs,bolia,881,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-015-15_7408506,https://www.bolia.com/nl-nl/producten/02-015-15_7408506,dining_chairs,bolia,367,367,,,"39,5 cm",,,,,,"Poten van geolied eiken
",41 cm,,94 cm,"63,5 cm","Zitting van laminaat, wit
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_10608564,https://www.bolia.com/nl-nl/producten/02-019-20_10608564,dining_chairs,bolia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_10608134,https://www.bolia.com/nl-nl/producten/02-019-20_10608134,dining_chairs,bolia,829,829,,46/79 cm,62 cm,55 cm,Blue,,66 cm,Memory - Stof,"Geolied walnoot
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_6559604,https://www.bolia.com/nl-nl/producten/02-019-20_6559604,dining_chairs,bolia,829,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-111-15_6370012,https://www.bolia.com/nl-nl/producten/02-111-15_6370012,dining_chairs,bolia,314,314,,4 cm,,40 cm,Dark Petrol,,,Devide - Stof,,,,,,,200 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-015-16_7408504,https://www.bolia.com/nl-nl/producten/02-015-16_7408504,dining_chairs,bolia,377,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_10587751,https://www.bolia.com/nl-nl/producten/02-019-20_10587751,dining_chairs,bolia,724,724,,46/79 cm,62 cm,55 cm,Light Grey,,66 cm,Hazel - Stof,"Geolied eiken
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-092-05_10732101,https://www.bolia.com/nl-nl/producten/02-092-05_10732101,dining_chairs,bolia,566,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-015-11_10608831,https://www.bolia.com/nl-nl/producten/02-015-11_10608831,dining_chairs,bolia,524,524,,,41 cm,,Green,,,Novel - Stof,"Poten van witgeolied eiken
",42 cm,37 cm,82 cm,47 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_10609031,https://www.bolia.com/nl-nl/producten/02-019-20_10609031,dining_chairs,bolia,829,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-015-11_1674971,https://www.bolia.com/nl-nl/producten/02-015-11_1674971,dining_chairs,bolia,493,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_4093440,https://www.bolia.com/nl-nl/producten/02-019-20_4093440,dining_chairs,bolia,776,776,,46/79 cm,62 cm,55 cm,Light Grey,,66 cm,Nantes - Stof,Zwart gelakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-111-15_1240061,https://www.bolia.com/nl-nl/producten/02-111-15_1240061,dining_chairs,bolia,314,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-092-15_10732100,https://www.bolia.com/nl-nl/producten/02-092-15_10732100,dining_chairs,bolia,703,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-307-01_6433702,https://www.bolia.com/nl-nl/producten/02-307-01_6433702,dining_chairs,bolia,295,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-092-15_10732101,https://www.bolia.com/nl-nl/producten/02-092-15_10732101,dining_chairs,bolia,703,703,,,"54,1 cm",,Cognac,,67 cm,Quattro Traceable - Leer,"Poten van geolied eiken
","49,5 cm","39,8 cm",85 cm,"44,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-307-01_6433703,https://www.bolia.com/nl-nl/producten/02-307-01_6433703,dining_chairs,bolia,295,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-106-05_7885478,https://www.bolia.com/nl-nl/producten/02-106-05_7885478,dining_chairs,bolia,272,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-106-01_1852396,https://www.bolia.com/nl-nl/producten/02-106-01_1852396,dining_chairs,bolia,409,409,,,62 cm,,,,66/72 cm,,"Poten van geolied eiken
",54 cm,44 cm,84 cm,"46,5 cm",Wit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_12438743,https://www.bolia.com/nl-nl/producten/02-019-20_12438743,dining_chairs,bolia,881,881,,46/79 cm,62 cm,55 cm,Light Brown,,66 cm,Bergo - Stof,"Geolied walnoot
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-111-15_7782201,https://www.bolia.com/nl-nl/producten/02-111-15_7782201,dining_chairs,bolia,315,315,,4 cm,,40 cm,Grey,,,Baize - Stof,,,,,,,200 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_6377721,https://www.bolia.com/nl-nl/producten/02-019-20_6377721,dining_chairs,bolia,776,776,,46/79 cm,62 cm,55 cm,Petrol,,66 cm,Ferb - Stof,"Witgeolied eiken
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-086-01_1838654,https://www.bolia.com/nl-nl/producten/02-086-01_1838654,dining_chairs,bolia,220,220,,,48 cm,,,,,,"Poten van chroom
",55 cm,44 cm,85 cm,48 cm,"Zitting van mat, gelakt walnoot
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_5977070,https://www.bolia.com/nl-nl/producten/02-019-20_5977070,dining_chairs,bolia,776,776,,46/79 cm,62 cm,55 cm,Antracit,,66 cm,Nantes - Stof,"Geolied eiken
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-111-15_7782186,https://www.bolia.com/nl-nl/producten/02-111-15_7782186,dining_chairs,bolia,315,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-092-05_10732100,https://www.bolia.com/nl-nl/producten/02-092-05_10732100,dining_chairs,bolia,566,566,,,42 cm,,Cognac,,,Quattro Traceable - Leer,"Poten van zwartgebeitst eiken
",50 cm,"38,7 cm",85 cm,"45,4 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-075-40_10731739,https://www.bolia.com/nl-nl/producten/02-075-40_10731739,dining_chairs,bolia,587,587,,,"54,7 cm",,,,69/75 cm,,,"55,5 cm",,"78,4 cm",45 cm,,,,Quattro Traceable - Leer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_8135021,https://www.bolia.com/nl-nl/producten/02-019-20_8135021,dining_chairs,bolia,829,829,,46/79 cm,62 cm,55 cm,Navy Melange,,66 cm,Qual - Stof,Zwart gelakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-111-15_10612273,https://www.bolia.com/nl-nl/producten/02-111-15_10612273,dining_chairs,bolia,359,359,,4 cm,,40 cm,Blue,,,Novel - Stof,,,,,,,200 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
