product_id,detail_url,title,category,sofa_category,competitor,totale breedte (a),binnenbreedte (b),totale hoogte (c),framehoogte (d),totale diepte (e),zithoogte (f),zitdiepte (g),lengte van de poten (l),matraslengte (m),matrasbreedte (n),totale diepte bed uitgeklapt (z),bekleding,garantie op het frame,zitkussens,rugkussens,original_price,price,totale lengte (h),internal length (i),interne lengte (i),footboard height (k)
SB-OTO,https://www.sofa.com/nl/banken/slaapbanken/otto-slaapbanken/p/SB-OTO,Otto Slaapbanken,sofa_beds,Slaapbanken,sofa,168cm,146cm,94cm,61cm,102cm,56cm,70cm,4cm,183cm,114cm,230cm,Afneembaar,Levenslang,Schuimrubber Met Eendenveren,Veren En Quallofil Kunstvezels,2.568,1.541,,,,
SB-ISA,https://www.sofa.com/nl/banken/slaapbanken/isaac-slaapbanken/p/SB-ISA,Isaac Slaapbanken,sofa_beds,Slaapbanken,sofa,175cm,132cm,92cm,76cm,95cm,47cm,62cm,,185cm,134cm,220cm,Removable,Levenslang,Feather Wrapped Foam,100 % Feather,3.300,1.980,262cm,220cm,,
SB-STE,https://www.sofa.com/nl/banken/slaapbanken/stella-slaapbanken/p/SB-STE,Stella Slaapbanken,sofa_beds,Slaapbanken,sofa,178cm,138cm,92cm,64cm,100cm,57cm,65cm,4cm,183cm,114cm,230cm,"Losse Afneembare Hoes (Behalve Leer, Dat Is Vast)",Levenslang,Feather-Wrapped Foam,3 Tiered Feather And Fibre Combination,"2,268","1,361",,,,
SB-AIS,https://www.sofa.com/nl/banken/slaapbanken/aissa-slaapbanken/p/SB-AIS,Aissa Slaapbanken,sofa_beds,Slaapbanken,sofa,157cm,139cm,91cm,63cm,97cm,54cm,60cm,5cm,183cm,114cm,228cm,Vast,Levenslang,Schuimrubber Omhuld Door Eendenveren,Eendenveren En Synthetische Vezels,2.388,1.433,,,,
SB-DOU,https://www.sofa.com/nl/banken/slaapbanken/douglas-slaapbanken/p/SB-DOU,Douglas Slaapbanken,sofa_beds,Slaapbanken,sofa,212cm,190cm,87cm,65cm,90cm,40cm,50cm,20cm,,,106cm,Vast,Levenslang,,,"1,308",785,,,,
SB-ASF,https://www.sofa.com/nl/banken/slaapbanken/aspen-vaste-rugleuning-slaapbanken/p/SB-ASF,Aspen Vaste Rugleuning Slaapbanken,sofa_beds,Slaapbanken,sofa,196cm,136cm,99cm,78cm,110cm,47cm,63cm,4cm,183cm,114cm,237cm,Removable,Levenslang,Feather Wrapped Foam,100% Feather,2.568,1.541,,,,
SB-ASP,https://www.sofa.com/nl/banken/slaapbanken/aspen-met-losse-sierkussens-slaapbanken/p/SB-ASP,Aspen Met Losse Sierkussens Slaapbanken,sofa_beds,Slaapbanken,sofa,196cm,136cm,89cm,78cm,110cm,47cm,63cm,4cm,183cm,114cm,237cm,Removable,Levenslang,Feather Wrapped Foam,100% Feather,"2,568","1,541",,,,
SB-BLB,https://www.sofa.com/nl/banken/slaapbanken/bluebell-slaapbanken/p/SB-BLB,Bluebell Slaapbanken,sofa_beds,Slaapbanken,sofa,172cm,135cm,95cm,77cm,110cm,50cm,65cm,12cm,183cm,113cm,233cm,Vast met verwijderbare zit- en rugkussenbekledingen,Levenslang,Schuimkern Omhuld Met Veren,Veren En Quallofill,"2,196","1,318",,,,
FS-BLB-430,https://www.sofa.com/nl/banken/bluebell-banken/p/FS-BLB-430,Bluebell Banken,3_seat_sofas,3-zits banken,sofa,218cm,183cm,91cm,75cm,106cm,53cm,60cm,17cm,,,,Vast Met Afneembare Kussenhoezen,Levenslang,Eendenveren Met Schuimrubber,Eendenveren En Kunstvezels,2.112,1.795,,,,
FS-SNO-130,https://www.sofa.com/nl/banken/uit-elkaar-te-halen-voor-handig-ver-plaatsen-banken/snowdrop-banken/p/FS-SNO-130,Snowdrop Banken,3_seat_sofas,3-zits banken,sofa,218cm,183cm,88cm,77cm,106cm,53cm,66cm,16cm,,,,Fixed With Removable Cushion Covers,Levenslang,Feather-Wrapped Foam,,"1,668","1,418",,,,
FS-AIS-130,https://www.sofa.com/nl/banken/banken-bestsellers/aissa-banken/p/FS-AIS-130,Aissa Banken,3_seat_sofas,3-zits banken,sofa,198cm,180cm,91cm,63cm,97cm,54cm,60cm,5cm,,,,Vast,Levenslang,Schuimrubber Met Eendenveren,Veren En Kunstvezels,1.752,1.489,,,,
FS-OTO-130,https://www.sofa.com/nl/banken/afneembare-hoezen-banken/otto-banken/p/FS-OTO-130,Otto Banken,3_seat_sofas,3-zits banken,sofa,212cm,190cm,94cm,61cm,102cm,55cm,70cm,3cm,,,,Afneembaar,Levenslang,Schuimrubber Met Eendenveren,Feather And Quallofil Fibre,"1,968","1,673",,,,
FS-IZZ-130,https://www.sofa.com/nl/banken/banken-bestsellers/izzy-banken/p/FS-IZZ-130,Izzy Banken,3_seat_sofas,3-zits banken,sofa,200cm,180cm,87cm,53cm,97cm,51cm,60cm,14.5cm,,,,Vast,Levenslang,Schuimrubber Met Eendenveren,Veren En Kunstvezels,1.752,1.489,,,,
FS-ASP-130,https://www.sofa.com/nl/banken/afneembare-hoezen-banken/aspen-met-losse-sierkussens-banken/p/FS-ASP-130,Aspen Met Losse Sierkussens Banken,3_seat_sofas,3-zits banken,sofa,210cm,152cm,95cm,76cm,105cm,57cm,65cm,3cm,,,,Removable Covers,Levenslang,Feather Wrapped Foam,Feather And Quallofil,1.968,1.673,,,,
FS-ASF-130,https://www.sofa.com/nl/banken/afneembare-hoezen-banken/aspen-vaste-rugleuning-banken/p/FS-ASF-130,Aspen Vaste Rugleuning Banken,3_seat_sofas,3-zits banken,sofa,210cm,152cm,105cm,76cm,105cm,57cm,65cm,3cm,,,,Removable Covers,Levenslang,Feather Wrapped Foam,100% Feather,1.968,1.673,,,,
FS-IGG-130,https://www.sofa.com/nl/banken/banken-bestsellers/iggy-banken/p/FS-IGG-130,Iggy Banken,3_seat_sofas,3-zits banken,sofa,194cm,174cm,91cm,66cm,95cm,53cm,59cm,15cm,,,,Vast,Levenslang,Schuimrubber Omhuld Door Eendenveren,100% Veren,"1,752","1,489",,,,
FS-LIL-130,https://www.sofa.com/nl/banken/klassiek-banken/lily-banken/p/FS-LIL-130,Lily Banken,3_seat_sofas,3-zits banken,sofa,201cm,184cm,78cm,63cm,86cm,40cm,55cm,16cm,,,,Vast,Levenslang,,,948,806,,,,
FS-COS-130,https://www.sofa.com/nl/banken/jaren-vijftig-banken/costello-banken/p/FS-COS-130,Costello Banken,3_seat_sofas,3-zits banken,sofa,221cm,175cm,92cm,50cm,102cm,48cm,64cm,19cm,,,,Vast,Levenslang,Schium schuimrubber met synthetische vezels (Quallofil),Veren en Schuimrubber met synthetische vezels (Quallofil),"1,668","1,418",,,,
FS-FGL-130,https://www.sofa.com/nl/banken/op-poten-banken/fingal-banken/p/FS-FGL-130,Fingal Banken,3_seat_sofas,3-zits banken,sofa,211cm,182cm,76cm,54cm,80cm,55cm,56cm,22cm,,,,Vast,Levenslang,Witte Eendenveren Rondom Een Laag Eersteklas Schuimrubber,,1.188,1.010,,,,
FS-HOL-130,https://www.sofa.com/nl/banken/jaren-vijftig-banken/holly-banken/p/FS-HOL-130,Holly Banken,3_seat_sofas,3-zits banken,sofa,215cm,185cm,87cm,52cm,90cm,50cm,54cm,20cm,,,,Vast,Levenslang,Schuimrubber Met Eendenveren,Veren En Kunstvezels,"1,428","1,214",,,,
FS-ISA-130,https://www.sofa.com/nl/banken/afneembare-hoezen-banken/isaac-banken/p/FS-ISA-130,Isaac Banken,3_seat_sofas,3-zits banken,sofa,211cm,193cm,92cm,76cm,95cm,47cm,62cm,,,,,Afneembaar,Levenslang,Koudschuim Omhuld Door Eendenveren,100% Veren,"1,668","1,418",,,,
FS-DSC-130,https://www.sofa.com/nl/banken/uit-elkaar-te-halen-voor-handig-ver-plaatsen-banken/descartes-banken/p/FS-DSC-130,Descartes Banken,3_seat_sofas,3-zits banken,sofa,223cm,183cm,90cm,70cm,88cm,56cm,61cm,20cm,,,,,Levenslang,Schuimrubber Met Eendenveren,,1.968,1.673,,,,
FS-ISL-130,https://www.sofa.com/nl/banken/afneembare-hoezen-banken/isla-banken/p/FS-ISL-130,Isla Banken,3_seat_sofas,3-zits banken,sofa,215cm,178cm,92cm,62cm,104cm,55cm,63cm,16cm,,,,Removable,Levenslang,Schuimrubber En Kunstvezels,Eendenveren,"1,824","1,550",,,,
FS-CSP-130,https://www.sofa.com/nl/banken/klassiek-banken/costello-with-wooden-plinth-banken/p/FS-CSP-130,Costello With Wooden Plinth Banken,3_seat_sofas,3-zits banken,sofa,221cm,175cm,92cm,50cm,102cm,48cm,64cm,19cm,,,,Removable,Levenslang,100% Quallofil,Feather And Quallofil,"1,668","1,418",,,,
FS-DSP-130,https://www.sofa.com/nl/banken/op-poten-banken/descartes-plain-banken/p/FS-DSP-130,Descartes Plain Banken,3_seat_sofas,3-zits banken,sofa,223cm,183cm,90cm,70cm,88cm,56cm,61cm,20cm,,,,Vast,Levenslang,Feather Wrapped Foam,,"1,668","1,418",,,,
FS-EMR-130,https://www.sofa.com/nl/banken/rechte-armleuning-banken/emerson-banken/p/FS-EMR-130,Emerson Banken,3_seat_sofas,3-zits banken,sofa,203cm,185cm,94cm,57cm,91cm,48cm,57cm,16cm,,,,Vast,Levenslang,Foam And Feather,Feather,1.668,1.418,,,,
FS-HMP-130,https://www.sofa.com/nl/banken/klassiek-banken/humphrey-banken/p/FS-HMP-130,Humphrey Banken,3_seat_sofas,3-zits banken,sofa,246cm,180cm,80cm,61cm,103cm,56cm,74cm,19cm,,,,Vast,Levenslang,Feather Wrapped Quallofil,,"2,208","1,877",,,,
FS-OSC-130,https://www.sofa.com/nl/banken/op-poten-banken/oscar-banken/p/FS-OSC-130,Oscar Banken,3_seat_sofas,3-zits banken,sofa,229cm,165cm,87cm,67cm,101cm,58cm,64cm,20cm,,,,Vast,Levenslang,Witte Eendenveren Rondom Een Laag Eersteklas Schuimrubber,,"1,968","1,673",,,,
FS-SAT-130,https://www.sofa.com/nl/banken/uit-elkaar-te-halen-voor-handig-ver-plaatsen-banken/saturday-banken/p/FS-SAT-130,Saturday Banken,3_seat_sofas,3-zits banken,sofa,231cm,180cm,86cm,66cm,108cm,51cm,65cm,20cm,,,,Vast,Levenslang,Schuimrubber Met Eendenveren,,1.668,1.418,,,,
FS-ZEP-130,https://www.sofa.com/nl/banken/jaren-vijftig-banken/zeppelin-banken/p/FS-ZEP-130,Zeppelin Banken,3_seat_sofas,3-zits banken,sofa,210cm,155cm,75cm,55cm,94cm,43cm,55cm,20cm,,,,Vast,Levenslang,,,"1,188","1,010",,,,
FS-PTR-130,https://www.sofa.com/nl/banken/op-poten-banken/patrick-banken/p/FS-PTR-130,Patrick Banken,3_seat_sofas,3-zits banken,sofa,234cm,178cm,75cm,67cm,98cm,53cm,65cm,8cm,,,,Vast,Levenslang,Schuimrubber Omhuld Door Eendenveren,,1.968,1.673,,,,
FS-STE-130,https://www.sofa.com/nl/banken/afneembare-hoezen-banken/stella-banken/p/FS-STE-130,Stella Banken,3_seat_sofas,3-zits banken,sofa,213cm,173cm,91cm,64cm,100cm,57cm,69cm,3cm,,,,"Losse Afneembare Hoes (Behalve Leer, Dat Is Vast)",Levenslang,Feather-Wrapped Foam,3 Tiered Feather And Fibre Combination,1.668,1.418,,,,
FS-MAB-130,https://www.sofa.com/nl/banken/mabel-banken/p/FS-MAB-130,Mabel Banken,3_seat_sofas,3-zits banken,sofa,211cm,177cm,89cm,45cm,98cm,53cm,62cm,22cm,,,,Vast,Levenslang,Foam,Feather And Foam,1.824,1.550,,,,
FS-HRP-130,https://www.sofa.com/nl/banken/ronde-armleuning-banken/harper-banken/p/FS-HRP-130,Harper Banken,3_seat_sofas,3-zits banken,sofa,220cm,186cm,83cm,61cm,89cm,47cm,59cm,22cm,,,,Vast,Levenslang,,,1.380,1.173,,,,
FS-FRD-130,https://www.sofa.com/nl/banken/jaren-vijftig-banken/freddie-banken/p/FS-FRD-130,Freddie Banken,3_seat_sofas,3-zits banken,sofa,225cm,180cm,95cm,58cm,103cm,52cm,66cm,18cm,,,,Vast met verwijderbare rugkussenbekleding,Levenslang,Schuim en Quallofill-vezel,Quallofill-vezel,"1,668","1,418",,,,
FS-MIN-130,https://www.sofa.com/nl/banken/jaren-vijftig-banken/minnie-banken/p/FS-MIN-130,Minnie Banken,3_seat_sofas,3-zits banken,sofa,211cm,180cm,89cm,67cm,83cm,47cm,52cm,22cm,,,,Vast,Levenslang,,,"1,188","1,010",,,,
FS-JAS-130,https://www.sofa.com/nl/banken/jaren-vijftig-banken/jasper-banken/p/FS-JAS-130,Jasper Banken,3_seat_sofas,3-zits banken,sofa,220cm,172cm,89cm,69cm,100cm,45cm,65cm,20cm,,,,Vast,Levenslang,,100% veren strooi kussen,1.668,1.418,,,,
FS-HEN-130,https://www.sofa.com/nl/banken/jaren-vijftig-banken/hendrik-banken/p/FS-HEN-130,Hendrik Banken,3_seat_sofas,3-zits banken,sofa,194cm,180cm,92cm,77cm,97cm,50cm,58cm,26cm,,,,Afneembare zit- en rugkussens,Levenslang,Schuimrubber,100% Quallofil,"1,188","1,010",,,,
FS-WAL-130,https://www.sofa.com/nl/banken/walter-banken/p/FS-WAL-130,Walter Banken,3_seat_sofas,3-zits banken,sofa,212cm,180cm,103cm,86cm,97cm,52cm,57cm,20cm,,,,Vast,Levenslang,Schuim met veren omhuld,,1.428,1.214,,,,
