country,competitor,category,price,title,width,height,depth,seat_height,material,color
nl,flinders,floor_lights,187.0,Frandsen Job vloerlamp,0,0,0,0.0,Metaal,
nl,flinders,floor_lights,473.0,Frandsen Shower Mega vloerlamp zwart,130.0,41.0,170.0,0.0,"Marmer, Textiel",
nl,flinders,floor_lights,820.0,Artemide Choose Mega vloerlamp,0,0,0,0.0,"Metaal, Plastic",
nl,flinders,floor_lights,1082.0,Vibia Skan 0260 vloerlamp LED,0,0,0,0.0,"Aluminium (metaal), Methacrylaat, Zamak (metaal)",
nl,flinders,floor_lights,592.0,Nemo Logo 300-5 vloerlamp,0,0,0,0.0,"Aluminium (metaal), Staal",
nl,flinders,floor_lights,1006.64,Ingo Maurer Stand Up For Your Light vloerlamp,27.0,190.0,27.0,0.0,"Aluminium (metaal), Glas, Plastic, Roestvrijstaal",
nl,flinders,floor_lights,0.0,Muuto Outlet - Pull vloerlamp,0,0,0,0.0,"Essen (hout), Plastic, Textiel",
nl,flinders,floor_lights,129.0,BePureHome Outlet - Spotlight vloerlamp zwart,54.0,167.0,45.0,0.0,Metaal,
nl,flinders,floor_lights,890.0,Jieldé Loft D9405 vloerlamp,33.0,200.0,33.0,0.0,"Metaal, Porselein (aardewerk), Staal",
nl,flinders,floor_lights,302.0,Tonone Outlet - Bolt 2 arm vloerlamp ash grey,30.0,125.0,46.0,0.0,"Aluminium (metaal), Staal",
nl,flinders,floor_lights,798.2,Foscarini Tress vloerlamp,0,0,0,0.0,Glasvezel,
nl,flinders,floor_lights,1573.0,Tom Dixon Melt vloerlamp,0,0,0,0.0,"PC (kunststof), Staal",
nl,flinders,floor_lights,6115.34,Foscarini Twice as Twiggy vloerlamp LED,390.0,80.0,325.0,0.0,"Aluminium (metaal), PC (kunststof), PMMA (kunststof)",
nl,flinders,floor_lights,3125.49,Moooi Construction Lamp vloerlamp small,0,0,0,0.0,"Aluminium (metaal), Hout",
nl,flinders,floor_lights,890.0,Artemide Cabildo vloerlamp LED 3000K - zacht wit,0,0,0,0.0,"Aluminium (metaal), Staal",
nl,flinders,floor_lights,833.0,Tecnolumen Decken-Strahler vloerlamp LED,0,0,0,0.0,Metaal (verchroomd),
nl,flinders,floor_lights,699.0,Functionals Stoklamp vloerlamp,0,0,0,0.0,"Hout, Staal, Stof",
nl,flinders,floor_lights,395.0,Flos Outlet - IC Lights F1 vloerlamp chroom,0,0,0,0.0,,
nl,flinders,floor_lights,199.0,Zuiver Outlet - Tripod Wood vloerlamp wit,0,0,0,0.0,"Houtfineer, Metaal",
nl,flinders,floor_lights,780.0,Artemide Ilio vloerlamp LED,0,0,0,0.0,"Aluminium (metaal), Staal",
nl,flinders,floor_lights,774.4,Flos Glo-Ball F1 vloerlamp,0,0,0,0.0,"Glas, Staal",
nl,flinders,floor_lights,2300.21,Moooi Paper vloerlamp,0,0,0,0.0,"Hout, Karton, Papier",
nl,flinders,floor_lights,1020.03,Luceplan Tango vloerlamp LED 3000K,0,0,0,0.0,Aluminium (metaal),
nl,flinders,floor_lights,316.11,Moooi Dandelion vloerlamp,0,0,0,0.0,Aluminium (metaal),
nl,flinders,floor_lights,295.8,Artemide Castore vloerlamp,0,0,0,0.0,"Glas (geblazen), Metaal, Plastic",
nl,flinders,floor_lights,2112.3,Flos Lounge Gun vloerlamp,0,0,0,0.0,"Aluminium (metaal), Geplastificeerd papier",
nl,flinders,floor_lights,1290.0,Artemide Yanzi vloerlamp LED,40.0,40.0,192.0,0.0,"Glas (geblazen), Messing",
nl,flinders,floor_lights,261.0,Lightyears Caravaggio Read vloerlamp,0,0,0,0.0,"Opaal glas, Staal, Zink (metaal)",
nl,flinders,floor_lights,828.0,Nemo Claritas vloerlamp,0,0,0,0.0,"Aluminium (metaal), Messing",
nl,flinders,floor_lights,2130.81,Foscarini Tress Grande vloerlamp LED,0,0,0,0.0,"Aluminium (metaal), Glas, PMMA (kunststof), Stof",
nl,flinders,floor_lights,1966.0,Nemo In the Wind vloerlamp LED,0,0,0,0.0,"Aluminium (metaal), Methacrylaat",
nl,flinders,floor_lights,314.0,Design House Stockholm MaÃ±ana vloerlamp wit (special edition),0,0,0,0.0,Staal,
nl,flinders,floor_lights,302.0,Tonone Outlet - Bolt 2 arm vloerlamp flux green,30.0,125.0,46.0,0.0,"Aluminium (metaal), Staal",
nl,flinders,floor_lights,1070.0,Vitra Akari 14A vloerlamp,0,0,0,0.0,"Bamboe, Shoji-papier, Staal",
nl,flinders,floor_lights,1850.0,Artemide Tolomeo Maxi vloerlamp- 3000K,0,0,0,0.0,"Aluminium (metaal), PVC (kunststof), Staal, Stof",
nl,flinders,floor_lights,347.27,Flos Outlet - Tab F LED vloerlamp wit,0,0,0,0.0,Aluminium (metaal),
nl,flinders,floor_lights,896.0,Gubi Bestlite BL3M vloerlamp,0,0,0,0.0,"Chroom (metaal), Messing, Metaal",
nl,flinders,floor_lights,1766.6,Flos Bibliotheque Nationale vloerlamp,0,0,0,0.0,"Methacrylaat, PC (kunststof), Roestvrijstaal",
nl,flinders,floor_lights,2341.0,Foscarini Tuareg vloerlamp LED,0,0,0,0.0,"Aluminium (metaal), PC (kunststof)",
nl,flinders,floor_lights,805.0,Gubi G-10 Grossman vloerlamp,0,0,0,0.0,"Aluminium (metaal), Glas, Staal",
nl,flinders,floor_lights,6138.33,Moooi Statistocrat vloerlamp,0,0,0,0.0,Aluminium (metaal),
nl,flinders,floor_lights,1952.26,Diesel Pipe Media vloerlamp,0,0,0,0.0,"Canvas, Metaal (gepoedercoat), PVC (kunststof)",
nl,flinders,floor_lights,670.0,Normann Copenhagen Grant vloerlamp LED,0,0,0,0.0,"Staal, Steen",
nl,flinders,floor_lights,1621.4,Luceplan Carrara vloerlamp LED met voetdimmer,0,0,0,0.0,,
nl,flinders,floor_lights,169.0,Vitra Akari UF4-33N vloerlamp,47.0,190.0,47.0,0.0,"Bamboe, Shoji-papier, Staal",
nl,flinders,floor_lights,299.0,HKliving Triangle vloerlamp,0,0,0,0.0,Metaal,
nl,flinders,floor_lights,1550.0,Artemide Cadmo vloerlamp LED 2700K - warm wit,0,0,0,0.0,Metaal,
nl,flinders,floor_lights,0.0,Zuiver Outlet - Metal Bow Copper vloerlamp,170.0,205.0,39.0,0.0,"Koper, Marmer, Messing, PVC (kunststof)",
nl,flinders,floor_lights,1038.18,Foscarini Gregg vloerlamp large alta,0,0,0,0.0,"Glas (geblazen), PU (kunststof)",
nl,flinders,floor_lights,826.66,"Diesel Outlet - Fork vloerlamp ivoor kap, bruin onderstel",0,0,0,0.0,"Metaal, Stof",
nl,flinders,floor_lights,347.27,Flos Outlet - Tab F LED vloerlamp wit,0,0,0,0.0,Aluminium (metaal),
nl,flinders,floor_lights,550.55,Louis Poulsen Outlet - AJ vloerlamp grijs,0,0,0,0.0,"Staal, Zink (metaal)",
nl,flinders,floor_lights,110.0,Frandsen Outlet - Ball vloerlamp zwart,0,0,0,0.0,Metaal,
nl,flinders,floor_lights,1022.0,Nemo Spigolo 3 vloerlamp LED,0,0,0,0.0,"ABS (kunststof), Aluminium (metaal), PC (kunststof)",
nl,flinders,floor_lights,677.0,Nemo Mr Light Tall vloerlamp,27.0,135.0,25.0,0.0,Staal,
nl,flinders,floor_lights,894.0,Tecnolumen Baton vloerlamp,0,0,0,0.0,Roestvrijstaal,
nl,flinders,floor_lights,1529.28,Foscarini Lightwing vloerlamp LED,0,0,0,0.0,"Aluminium (metaal), Zink (metaal)",
nl,flinders,floor_lights,713.0,Nemo Spigolo 2 vloerlamp LED,0,0,0,0.0,"ABS (kunststof), Aluminium (metaal), PC (kunststof)",
nl,flinders,floor_lights,654.0,Gubi Cobra vloerlamp,0,0,0,0.0,Metaal,
nl,flinders,floor_lights,804.0,Vibia North Floor vloerlamp,0,0,0,0.0,"Aluminium (metaal), Koolstofvezel, Methacrylaat",
nl,flinders,floor_lights,1936.0,Flos Outlet - Arco vloerlamp LED,0,0,0,0.0,Aluminium (metaal),
nl,flinders,floor_lights,1125.3,Nemo Ellisse vloerlamp LED,0,0,0,0.0,Aluminium (metaal),
nl,flinders,floor_lights,275.64,Serax Circle vloerlamp medium,0,0,0,0.0,,
nl,flinders,floor_lights,0.0,Zuiver Outlet - Metal Bow vloerlamp messing,170.0,205.0,39.0,0.0,"Koper, Marmer, Messing, PVC (kunststof)",
nl,flinders,floor_lights,491.26,Foscarini Filo vloerlamp,0,0,0,0.0,"Glas, Metaal, Porselein (aardewerk), Textiel",
nl,flinders,floor_lights,699.0,Marset Maranga P130 vloerlamp,0,0,0,0.0,Metaal,
